time,frequency,power interpolated
11:36:46.753,49.76393585,333.2491228
11:36:46.778,49.76383111,333.4736842
11:36:46.804,49.7637303,333.6982456
11:36:46.828,49.76362937,333.922807
11:36:46.854,49.76352429,334.1473684
11:36:46.880,49.76341909,334.3719298
11:36:46.906,49.76331783,334.5964912
11:36:46.930,49.76321645,334.8210526
11:36:46.956,49.76311091,335.045614
11:36:46.982,49.76300525,335.2701754
11:36:47.032,49.76281396,335.4947368
11:36:47.056,49.76270798,335.7192982
11:36:47.081,49.76260187,335.9438596
11:36:47.107,49.76249566,336.1684211
11:36:47.133,49.76239342,336.3929825
11:36:47.157,49.76229107,336.6175439
11:36:47.183,49.76218451,336.8421053
11:36:47.209,49.76207784,337.0666667
11:36:47.235,49.76197516,337.2912281
11:36:47.259,49.76187238,337.5157895
11:36:47.285,49.76176537,337.7403509
11:36:47.311,49.76165825,337.9649123
11:36:47.337,49.76155514,338.1894737
11:36:47.361,49.76145193,338.4140351
11:36:47.387,49.76134447,338.6385965
11:36:47.413,49.76123691,338.8631579
11:36:47.439,49.76113337,339.0877193
11:36:47.463,49.76102973,339.3122807
11:36:47.489,49.76092183,339.5368421
11:36:47.515,49.76081381,339.7614035
11:36:47.541,49.76070985,339.9859649
11:36:47.565,49.76060578,340.2105263
11:36:47.590,49.76050578,340.4350877
11:36:47.614,49.76040151,340.6596491
11:36:47.639,49.76030131,340.8842105
11:36:47.663,49.76019683,341.1087719
11:36:47.688,49.76009644,341.3333333
11:36:47.712,49.75999595,341.5578947
11:36:47.736,49.75989118,341.7824561
11:36:47.762,49.7597821,342.0070175
11:36:47.787,49.75968132,342.2315789
11:36:47.811,49.75957624,342.4561404
11:36:47.836,49.75947526,342.6807018
11:36:47.860,49.75937419,342.9052632
11:36:47.884,49.75926881,343.1298246
11:36:47.909,49.75916755,343.354386
11:36:47.933,49.75906197,343.5789474
11:36:47.958,49.75896052,343.8035088
11:36:47.982,49.75885475,344.0280702
11:36:48.025,49.75868529,344.2526316
11:36:48.047,49.7585835,344.477193
11:36:48.071,49.75847736,344.7017544
11:36:48.096,49.75837538,344.9263158
11:36:48.120,49.7582733,345.1508772
11:36:48.144,49.75816688,345.3754386
11:36:48.169,49.75806461,345.6
11:36:48.193,49.75795799,345.8245614
11:36:48.218,49.75785554,346.0491228
11:36:48.242,49.75774872,346.2736842
11:36:48.267,49.75764608,346.4982456
11:36:48.291,49.75754336,346.722807
11:36:48.315,49.75743625,346.9473684
11:36:48.340,49.75733334,347.1719298
11:36:48.364,49.75722604,347.3964912
11:36:48.389,49.75712294,347.6210526
11:36:48.413,49.75701545,347.845614
11:36:48.438,49.75691217,348.0701754
11:36:48.462,49.7568088,348.2947368
11:36:48.486,49.75670102,348.5192982
11:36:48.511,49.75659746,348.7438596
11:36:48.535,49.7564895,348.9684211
11:36:48.560,49.75638576,349.1929825
11:36:48.584,49.75627761,349.4175439
11:36:48.609,49.75617369,349.6421053
11:36:48.633,49.75606968,349.8666667
11:36:48.657,49.75596124,350.0912281
11:36:48.682,49.75585706,350.3157895
11:36:48.707,49.75574843,350.5403509
11:36:48.729,49.75564841,350.7649123
11:36:48.752,49.75554832,350.9894737
11:36:48.775,49.75544814,351.2140351
11:36:48.798,49.75534788,351.4385965
11:36:48.821,49.75524754,351.6631579
11:36:48.844,49.75514712,351.8877193
11:36:48.867,49.75504662,352.1122807
11:36:48.890,49.75494604,352.3368421
11:36:48.913,49.75484538,352.5614035
11:36:48.936,49.75474464,352.7859649
11:36:48.959,49.75464382,353.0105263
11:36:48.982,49.75454292,353.2350877
11:36:49.010,49.75442438,353.4596491
11:36:49.032,49.75432331,353.6842105
11:36:49.055,49.75422216,353.9087719
11:36:49.078,49.75412093,354.1333333
11:36:49.101,49.75401963,354.3578947
11:36:49.124,49.75391824,354.5824561
11:36:49.147,49.75381678,354.8070175
11:36:49.170,49.75371524,355.0315789
11:36:49.193,49.75361362,355.2561404
11:36:49.216,49.75351193,355.4807018
11:36:49.239,49.75341015,355.7052632
11:36:49.262,49.7533083,355.9298246
11:36:49.285,49.75320637,356.154386
11:36:49.308,49.75310437,356.3789474
11:36:49.331,49.75300229,356.6035088
11:36:49.354,49.75290013,356.8280702
11:36:49.377,49.75279789,357.0526316
11:36:49.400,49.75269558,357.277193
11:36:49.423,49.75259319,357.5017544
11:36:49.446,49.75249073,357.7263158
11:36:49.469,49.75238818,357.9508772
11:36:49.492,49.75228557,358.1754386
11:36:49.515,49.75218287,358.4
11:36:49.538,49.7520801,358.6245614
11:36:49.561,49.75197726,358.8491228
11:36:49.584,49.75187434,359.0736842
11:36:49.607,49.75177135,359.2982456
11:36:49.630,49.75166828,359.522807
11:36:49.653,49.75156513,359.7473684
11:36:49.676,49.75146191,359.9719298
11:36:49.700,49.75135412,360.1964912
11:36:49.723,49.75125075,360.4210526
11:36:49.746,49.75114731,360.645614
11:36:49.769,49.75104379,360.8701754
11:36:49.792,49.75094019,361.0947368
11:36:49.815,49.75083652,361.3192982
11:36:49.838,49.75073278,361.5438596
11:36:49.861,49.75062897,361.7684211
11:36:49.884,49.75052508,361.9929825
11:36:49.907,49.75042111,362.2175439
11:36:49.930,49.75031708,362.4421053
11:36:49.953,49.75021297,362.6666667
11:36:49.976,49.75010879,362.8912281
11:36:49.999,49.75000453,363.1157895
11:36:50.025,49.74990021,363.3403509
11:36:50.045,49.74979581,363.5649123
11:36:50.068,49.74969134,363.7894737
11:36:50.091,49.74958679,364.0140351
11:36:50.114,49.74948218,364.2385965
11:36:50.137,49.74937749,364.4631579
11:36:50.160,49.74927273,364.6877193
11:36:50.183,49.7491679,364.9122807
11:36:50.206,49.749063,365.1368421
11:36:50.229,49.74895803,365.3614035
11:36:50.252,49.74885299,365.5859649
11:36:50.275,49.74874787,365.8105263
11:36:50.298,49.74864269,366.0350877
11:36:50.321,49.74853743,366.2596491
11:36:50.344,49.74843211,366.4842105
11:36:50.367,49.74832671,366.7087719
11:36:50.391,49.74822124,366.9333333
11:36:50.413,49.74811571,367.1578947
11:36:50.436,49.7480101,367.3824561
11:36:50.459,49.74790443,367.6070175
11:36:50.482,49.74779868,367.8315789
11:36:50.505,49.74769287,368.0561404
11:36:50.528,49.74758698,368.2807018
11:36:50.551,49.74748103,368.5052632
11:36:50.574,49.74737962,368.7298246
11:36:50.596,49.74727815,368.954386
11:36:50.617,49.74717661,369.1789474
11:36:50.640,49.74707039,369.4035088
11:36:50.663,49.74696411,369.6280702
11:36:50.686,49.74685775,369.8526316
11:36:50.709,49.74675133,370.077193
11:36:50.732,49.74664484,370.3017544
11:36:50.755,49.74653828,370.5263158
11:36:50.778,49.74643166,370.7508772
11:36:50.801,49.74632496,370.9754386
11:36:50.824,49.74622285,371.2
11:36:50.846,49.74612067,371.4245614
11:36:50.867,49.74601843,371.6491228
11:36:50.890,49.74591148,371.8736842
11:36:50.913,49.74580446,372.0982456
11:36:50.936,49.74569737,372.322807
11:36:50.959,49.74559022,372.5473684
11:36:50.982,49.745483,372.7719298
11:36:51.013,49.74534306,372.9964912
11:36:51.035,49.74523569,373.2210526
11:36:51.058,49.74512825,373.445614
11:36:51.081,49.74502075,373.6701754
11:36:51.104,49.74491319,373.8947368
11:36:51.127,49.74480556,374.1192982
11:36:51.150,49.74469786,374.3438596
11:36:51.173,49.7445901,374.5684211
11:36:51.196,49.74448228,374.7929825
11:36:51.219,49.74437439,375.0175439
11:36:51.242,49.74426643,375.2421053
11:36:51.265,49.74415841,375.4666667
11:36:51.288,49.74405033,375.6912281
11:36:51.311,49.74394219,375.9157895
11:36:51.334,49.74383398,376.1403509
11:36:51.357,49.7437257,376.3649123
11:36:51.380,49.74361737,376.5894737
11:36:51.403,49.74350897,376.8140351
11:36:51.426,49.7434005,377.0385965
11:36:51.449,49.7432967,377.2631579
11:36:51.471,49.74319283,377.4877193
11:36:51.492,49.74308891,377.7122807
11:36:51.515,49.74298021,377.9368421
11:36:51.538,49.74287144,378.1614035
11:36:51.561,49.74276261,378.3859649
11:36:51.584,49.74265372,378.6105263
11:36:51.607,49.74254476,378.8350877
11:36:51.630,49.74243575,379.0596491
11:36:51.653,49.74232667,379.2842105
11:36:51.676,49.74221753,379.5087719
11:36:51.699,49.74211308,379.7333333
11:36:51.721,49.74200857,379.9578947
11:36:51.742,49.74190401,380.1824561
11:36:51.765,49.74179463,380.4070175
11:36:51.788,49.7416852,380.6315789
11:36:51.811,49.7415757,380.8561404
11:36:51.833,49.74147568,381.0807018
11:36:51.854,49.74137083,381.3052632
11:36:51.876,49.7412707,381.5298246
11:36:51.897,49.74116575,381.754386
11:36:51.919,49.74106552,381.9789474
11:36:51.940,49.74096046,382.2035088
11:36:51.962,49.74086013,382.4280702
11:36:51.982,49.74075975,382.6526316
11:36:52.027,49.74055405,382.877193
11:36:52.047,49.74045351,383.1017544
11:36:52.068,49.74034814,383.3263158
11:36:52.090,49.74024751,383.5508772
11:36:52.111,49.74014203,383.7754386
11:36:52.133,49.7400413,384
11:36:52.153,49.73994052,384.2245614
11:36:52.175,49.73983969,384.4491228
11:36:52.196,49.73973401,384.6736842
11:36:52.218,49.73963308,384.8982456
11:36:52.239,49.7395273,385.122807
11:36:52.261,49.73942627,385.3473684
11:36:52.282,49.73932039,385.5719298
11:36:52.304,49.73921926,385.7964912
11:36:52.325,49.73911327,386.0210526
11:36:52.347,49.73901205,386.245614
11:36:52.367,49.73891079,386.4701754
11:36:52.389,49.73880947,386.6947368
11:36:52.410,49.73870328,386.9192982
11:36:52.432,49.73860187,387.1438596
11:36:52.453,49.73849559,387.3684211
11:36:52.475,49.73839408,387.5929825
11:36:52.496,49.73828769,387.8175439
11:36:52.518,49.73818609,388.0421053
11:36:52.538,49.73808445,388.2666667
11:36:52.560,49.73798275,388.4912281
11:36:52.581,49.73787617,388.7157895
11:36:52.603,49.73777438,388.9403509
11:36:52.624,49.7376677,389.1649123
11:36:52.646,49.73756582,389.3894737
11:36:52.667,49.73745904,389.6140351
11:36:52.689,49.73735707,389.8385965
11:36:52.709,49.73725505,390.0631579
11:36:52.731,49.73715299,390.2877193
11:36:52.753,49.73704602,390.5122807
11:36:52.774,49.73694386,390.7368421
11:36:52.795,49.7368368,390.9614035
11:36:52.817,49.73673455,391.1859649
11:36:52.839,49.73662739,391.4105263
11:36:52.860,49.73652505,391.6350877
11:36:52.880,49.73642267,391.8596491
11:36:52.902,49.73632024,392.0842105
11:36:52.923,49.73621289,392.3087719
11:36:52.945,49.73611038,392.5333333
11:36:52.966,49.73600294,392.7578947
11:36:52.988,49.73590033,392.9824561
11:36:53.020,49.7357439,393.2070175
11:36:53.041,49.73564119,393.4315789
11:36:53.061,49.73553843,393.6561404
11:36:53.083,49.73543563,393.8807018
11:36:53.104,49.73532789,394.1052632
11:36:53.126,49.735225,394.3298246
11:36:53.147,49.73511717,394.554386
11:36:53.169,49.7350142,394.7789474
11:36:53.190,49.73490628,395.0035088
11:36:53.212,49.73480322,395.2280702
11:36:53.232,49.73470011,395.4526316
11:36:53.254,49.73459697,395.677193
11:36:53.275,49.73448887,395.9017544
11:36:53.297,49.73438564,396.1263158
11:36:53.318,49.73427745,396.3508772
11:36:53.340,49.73417413,396.5754386
11:36:53.361,49.73406585,396.8
11:36:53.383,49.73396245,397.0245614
11:36:53.403,49.73385901,397.2491228
11:36:53.425,49.73375553,397.4736842
11:36:53.446,49.73364708,397.6982456
11:36:53.468,49.73354351,397.922807
11:36:53.489,49.73343497,398.1473684
11:36:53.511,49.73333132,398.3719298
11:36:53.532,49.7332227,398.5964912
11:36:53.554,49.73311897,398.8210526
11:36:53.575,49.73301025,399.045614
11:36:53.597,49.73290644,399.2701754
11:36:53.617,49.73280259,399.4947368
11:36:53.639,49.7326987,399.7192982
11:36:53.660,49.73258982,399.9438596
11:36:53.682,49.73248585,400.1684211
11:36:53.703,49.73237688,400.3929825
11:36:53.725,49.73227283,400.6175439
11:36:53.746,49.73216378,400.8421053
11:36:53.768,49.73205965,401.0666667
11:36:53.788,49.73195547,401.2912281
11:36:53.810,49.73185126,401.5157895
11:36:53.831,49.73174205,401.7403509
11:36:53.853,49.73163776,401.9649123
11:36:53.874,49.73152847,402.1894737
11:36:53.896,49.7314241,402.4140351
11:36:53.917,49.73131472,402.6385965
11:36:53.939,49.73121028,402.8631579
11:36:53.959,49.7311058,403.0877193
11:36:53.981,49.73100128,403.3122807
11:36:54.025,49.73079212,403.5368421
11:36:54.044,49.73068749,403.7614035
11:36:54.065,49.73057784,403.9859649
11:36:54.087,49.73047313,404.2105263
11:36:54.107,49.73036839,404.4350877
11:36:54.129,49.73026361,404.6596491
11:36:54.150,49.7301538,404.8842105
11:36:54.172,49.73004894,405.1087719
11:36:54.193,49.72993905,405.3333333
11:36:54.215,49.72983412,405.5578947
11:36:54.236,49.72972416,405.7824561
11:36:54.257,49.72962415,406.0070175
11:36:54.277,49.72952412,406.2315789
11:36:54.297,49.72942405,406.4561404
11:36:54.317,49.72932395,406.6807018
11:36:54.337,49.72922382,406.9052632
11:36:54.357,49.72911864,407.1298246
11:36:54.377,49.72901845,407.354386
11:36:54.397,49.72891822,407.5789474
11:36:54.417,49.72881796,407.8035088
11:36:54.438,49.72871766,408.0280702
11:36:54.458,49.72861734,408.2526316
11:36:54.478,49.72851698,408.477193
11:36:54.498,49.7284166,408.7017544
11:36:54.518,49.72831618,408.9263158
11:36:54.538,49.7282107,409.1508772
11:36:54.558,49.72811022,409.3754386
11:36:54.578,49.72800971,409.6
11:36:54.598,49.72790917,409.8245614
11:36:54.619,49.72780859,410.0491228
11:36:54.639,49.72770799,410.2736842
11:36:54.659,49.72760735,410.4982456
11:36:54.679,49.72750669,410.722807
11:36:54.699,49.72740599,410.9473684
11:36:54.719,49.72730023,411.1719298
11:36:54.739,49.72719947,411.3964912
11:36:54.759,49.72709869,411.6210526
11:36:54.780,49.72699787,411.845614
11:36:54.800,49.72689703,412.0701754
11:36:54.820,49.72679615,412.2947368
